wavelength_nm,refractive_index,specific_abs_coeff_chl,specific_abs_coeff_car,specific_abs_coeff_cw,specific_abs_coeff_cm
894,1.45409,0,0,0.0604,2.3
895,1.45393,0,0,0.0609,2.3
896,1.45378,0,0,0.0619,2.3
897,1.45364,0,0,0.0623,2.3
898,1.4535,0,0,0.0627,2.3
899,1.45336,0,0,0.0636,2.3
900,1.45322,0,0,0.0641,2.3
901,1.45309,0,0,0.0646,2.3
902,1.45295,0,0,0.0656,2.3
903,1.45281,0,0,0.0664,2.3
904,1.45267,0,0,0.0667,2.3
905,1.45253,0,0,0.067,2.3
906,1.45239,0,0,0.0677,2.3
907,1.45224,0,0,0.069,2.3
908,1.45208,0,0,0.0699,2.3
909,1.45193,0,0,0.0704,2.3
910,1.45178,0,0,0.0708,2.3
911,1.45163,0,0,0.0719,2.3
912,1.45149,0,0,0.0736,2.3
913,1.45136,0,0,0.0749,2.3
914,1.45123,0,0,0.0756,2.3
915,1.4511,0,0,0.0763,2.3
916,1.45095,0,0,0.0779,2.3
917,1.4508,0,0,0.0809,2.3
918,1.45065,0,0,0.0829,2.3
919,1.45049,0,0,0.0841,2.3
920,1.45033,0,0,0.0853,2.3
921,1.45019,0,0,0.088,2.3
922,1.45004,0,0,0.0927,2.3
923,1.44986,0,0,0.0958,2.3
924,1.44968,0,0,0.0982,2.3
925,1.44952,0,0,0.101,2.3
926,1.44937,0,0,0.104,2.3
927,1.44922,0,0,0.107,2.3
928,1.44908,0,0,0.111,2.3
929,1.44893,0,0,0.119,2.3
930,1.4488,0,0,0.125,2.3
931,1.44868,0,0,0.128,2.3
932,1.44851,0,0,0.133,2.3
933,1.4483,0,0,0.137,2.3
934,1.4481,0,0,0.141,2.3
935,1.44794,0,0,0.147,2.3
936,1.44779,0,0,0.156,2.3
937,1.44768,0,0,0.164,2.3
938,1.44759,0,0,0.169,2.3
939,1.44743,0,0,0.173,2.3
940,1.4472,0,0,0.182,2.3
941,1.44691,0,0,0.196,2.3
942,1.44667,0,0,0.205,2.3
943,1.44651,0,0,0.211,2.3
944,1.44637,0,0,0.219,2.3
945,1.4462,0,0,0.229,2.3
946,1.44608,0,0,0.239,2.3
947,1.44609,0,0,0.247,2.3
948,1.44613,0,0,0.254,2.3
949,1.44601,0,0,0.27,2.3
950,1.44574,0,0,0.298,2.3
951,1.4455,0,0,0.315,2.3
952,1.44531,0,0,0.327,2.3
953,1.44516,0,0,0.344,2.3
954,1.44503,0,0,0.362,2.3
955,1.44494,0,0,0.379,2.3
956,1.44484,0,0,0.393,2.3
957,1.44469,0,0,0.407,2.3
958,1.44455,0,0,0.418,2.3
959,1.44455,0,0,0.427,2.3
960,1.4445,0,0,0.439,2.3
961,1.44425,0,0,0.454,2.3
962,1.444,0,0,0.461,2.3
963,1.44384,0,0,0.463,2.3
964,1.44371,0,0,0.466,2.3
965,1.44362,0,0,0.47,2.3
966,1.44357,0,0,0.473,2.3
967,1.44349,0,0,0.476,2.3
968,1.44344,0,0,0.477,2.3
969,1.44346,0,0,0.479,2.3
970,1.44345,0,0,0.48,2.3
